date,day,steps,distance,altitude,calories
2018-09-15,Saturday,8454,4.63,16,2312
2018-09-16,Sunday,4522,2.48,15,2029
2018-09-17,Monday,7081,3.88,25,2277
2018-09-18,Tuesday,7501,4.11,36,2226
2018-09-19,Wednesday,17315,9.67,87,2789
2018-09-20,Thursday,16079,8.81,43,2981
2018-09-21,Friday,24986,14.31,78,3660
2018-09-22,Saturday,24937,13.66,113,3717
2018-09-23,Sunday,22680,13.08,47,3478
2018-09-24,Monday,26073,14.38,56,3240
2018-09-25,Tuesday,33355,18.54,106,3873
2018-09-26,Wednesday,28009,15.43,86,3509
2018-09-27,Thursday,26183,14.35,71,3550
2018-09-28,Friday,17521,10.04,32,2768
2018-09-29,Saturday,18960,10.56,46,3161
2018-09-30,Sunday,6498,3.58,3,2241
2018-10-01,Monday,11786,6.46,54,2659
2018-10-02,Tuesday,2986,1.64,20,1962
2018-10-03,Wednesday,7344,4.02,29,2372
2018-10-04,Thursday,3727,2.13,15,2025
2018-10-05,Friday,3887,2.13,11,2057
2018-10-06,Saturday,38465,21.36,428,4437
2018-10-07,Sunday,6922,3.79,28,2165
2018-10-08,Monday,7918,4.33,28,2271
2018-10-09,Tuesday,4102,2.25,22,2062
2018-10-10,Wednesday,8606,4.71,25,2310
2018-10-11,Thursday,4668,2.56,22,2070
2018-10-12,Friday,3389,1.86,29,1969
2018-10-13,Saturday,779,0.42,0,1811
2018-10-14,Sunday,6524,3.57,14,2193
2018-10-15,Monday,7940,4.35,25,2280
2018-10-16,Tuesday,4792,2.62,20,2103
2018-10-17,Wednesday,3755,2.05,17,2034
2018-10-18,Thursday,3114,1.71,17,2021
2018-10-19,Friday,6680,3.66,29,2173
2018-10-20,Saturday,504,0.27,1,1727
2018-10-21,Sunday,1213,0.66,1,1877
2018-10-22,Monday,6497,3.93,41,2118
2018-10-23,Tuesday,9764,5.35,76,2381
2018-10-24,Wednesday,11126,6.1,48,2649
2018-10-25,Thursday,12114,6.73,41,2550
2018-10-26,Friday,5067,3.04,20,2239
2018-10-27,Saturday,9973,6.85,20,2362
2018-10-28,Sunday,754,0.41,7,1886
2018-10-29,Monday,7446,4.08,25,2254
2018-10-30,Tuesday,3031,1.66,15,2094
2018-10-31,Wednesday,3800,2.14,19,2109
2018-11-01,Thursday,10287,5.72,39,2546
2018-11-02,Friday,11614,6.45,48,2603
2018-11-03,Saturday,29778,16.32,395,3828
2018-11-04,Sunday,642,0.35,0,1797
2018-11-05,Monday,7187,3.94,21,2198
2018-11-06,Tuesday,6468,3.54,21,2087
2018-11-07,Wednesday,5021,2.84,30,2139
2018-11-08,Thursday,3378,1.85,20,1987
2018-11-09,Friday,5125,2.81,32,2117
2018-11-10,Saturday,821,0.45,0,1793
2018-11-11,Sunday,2558,1.68,11,2108
2018-11-12,Monday,14108,8.64,36,2871
2018-11-13,Tuesday,19189,14.97,68,3126
2018-11-14,Wednesday,21428,15.75,81,3190
2018-11-15,Thursday,3714,2.03,20,2063
2018-11-16,Friday,13710,10.45,44,2640
2018-11-17,Saturday,16764,12.65,41,2915
2018-11-18,Sunday,790,0.43,0,1793
2018-11-19,Monday,11201,6.32,44,2568
2018-11-20,Tuesday,3967,2.17,20,2244
2018-11-21,Wednesday,5004,2.74,24,2142
2018-11-22,Thursday,1917,1.05,5,2073
2018-11-23,Friday,5119,3.04,17,2140
2018-11-24,Saturday,21973,16.24,63,3232
2018-11-25,Sunday,848,0.46,0,1793
2018-11-26,Monday,4437,2.43,17,2071
2018-11-27,Tuesday,4509,2.47,26,2210
2018-11-28,Wednesday,7507,4.11,40,2321
2018-11-29,Thursday,3787,2.07,21,2001
2018-11-30,Friday,6723,3.81,18,2192
2018-12-01,Saturday,36255,19.72,379,4227
2018-12-02,Sunday,5114,2.72,12,2071
2018-12-03,Monday,19162,13.26,51,3009
2018-12-04,Tuesday,3295,1.74,18,1967
2018-12-05,Wednesday,5527,2.92,16,2082
2018-12-06,Thursday,6746,3.51,24,2156
2018-12-07,Friday,464,0.17,1,1687
2018-12-08,Saturday,2589,1.37,18,1935
2018-12-09,Sunday,2824,1.6,13,1935
2018-12-10,Monday,3874,2.04,14,2074
2018-12-11,Tuesday,3850,2.05,15,2041
2018-12-12,Wednesday,9985,5.4,36,2398
2018-12-13,Thursday,2967,1.54,14,1964
2018-12-14,Friday,5072,2.81,26,2137
2018-12-15,Saturday,5339,3.03,34,2096
2018-12-16,Sunday,0,0.0,0,1632
2018-12-17,Monday,1193,0.65,0,1847
2018-12-18,Tuesday,3009,1.64,15,2109
2018-12-19,Wednesday,2717,1.48,5,2046
2018-12-20,Thursday,6243,3.5,11,2454
